no,id,parent_id,theme,confidence,status,headline_hi,headline_en,question_hi,question_en,rti_ref,permalink,sources
1,1,,paper-leak,A,verified,"कानून बना, लीक फिर भी हुआ",The law passed. The leak happened anyway.,"2023 में नकल विरोधी कानून लाया गया जिसमें उम्रकैद तक की सज़ा है। फिर सितंबर 2025 में UKSSSC का पेपर दोबारा लीक हुआ और मामला CBI को देना पड़ा। सवाल यह है, कानून बनने के बाद आज तक कितने लोगों को इस कानून के तहत सज़ा मिली?",The 2023 anti-copying law carries penalties up to life imprisonment. Yet in September 2025 the UKSSSC paper leaked again and the case had to be handed to the CBI. How many people have actually been convicted under that law since it came into force?,RTI-01,https://70sawal.github.io/q/1/,"ThePrint: Another exam, another leak — Uttarakhand can't plug gaps despite anti-cheating law <https://theprint.in/india/another-exam-another-leak-uttarakhand-cant-plug-gaps-despite-anti-cheating-law-uksssc-stir-spills-over/2750820/> | The Quint: Provisions of Uttarakhand's anti-copying law (life imprisonment, fine up to Rs 10 crore) <https://www.thequint.com/explainers/uttarakhand-anti-copying-law-provisions-jail-term-fine-paper-leak> | KollegeApply News: CM Dhami orders CBI probe after protests, Sept 2025 <https://news.kollegeapply.com/news/uttarakhand-ssc-paper-leak-2025-cm-orders-cbi-probe-after-protests>"
1.1,2,1,paper-leak,B,verified,"चार बार लीक, फीस आज तक वापस नहीं","Four leaks, and no refund of fees","2017-18, 2021 (पटवारी/लेखपाल), 2022 (UKSSSC स्नातक स्तर), और 2025, भर्ती परीक्षाओं में लीक बार-बार हुआ। नौ साल में कितनी परीक्षाएँ रद्द हुईं, और उन लाखों अभ्यर्थियों को फीस और यात्रा खर्च का मुआवज़ा कब मिलेगा?","Recruitment exam leaks recurred in 2017-18, 2021 (Patwari/Lekhpal), 2022 (UKSSSC graduate level) and 2025. How many exams have been cancelled in nine years, and when will the lakhs of affected aspirants be compensated for fees and travel costs?",RTI-02,https://70sawal.github.io/q/1/,"ThePrint: Pattern of leaks 2017-18, 2021, 2022, 2025 <https://theprint.in/india/another-exam-another-leak-uttarakhand-cant-plug-gaps-despite-anti-cheating-law-uksssc-stir-spills-over/2750820/>"
1.2,58,1,rozgaar,B,verified,"लाठीचार्ज की जाँच बैठी थी, रिपोर्ट कहाँ है?",An inquiry was ordered into the lathi charge. Where is its report?,"भर्ती परीक्षाओं के पेपर लीक के ख़िलाफ़ देहरादून में प्रदर्शन कर रहे छात्रों पर लाठीचार्ज हुआ. पुलिस का कहना था कि पथराव किया गया, बाहरी लोग प्रदर्शन में घुस आए, गाड़ियाँ क्षतिग्रस्त हुईं और कई कर्मचारी घायल हुए. कई प्रदर्शनकारी हिरासत में लिए गए. मुख्यमंत्री ने लाठीचार्ज की जाँच के आदेश दिए थे. सवाल यह है कि उस जाँच में क्या निकला, रिपोर्ट कब आई, और उसमें क्या कार्रवाई की सिफ़ारिश हुई?","Students protesting in Dehradun against recruitment exam paper leaks were lathi-charged. Police said stones had been pelted, that outside elements had entered the protest, that vehicles were damaged and personnel injured. Several protesters were detained. The Chief Minister ordered an inquiry into the lathi charge. The question is what that inquiry found, when it reported, and what action it recommended.",RTI-01,https://70sawal.github.io/q/1/,Republic World: Uttarakhand paper leaks: CM Dhami orders inquiry into lathi charge on protesting students <https://www.republicworld.com/india/uttarakhand-paper-leaks-cm-dhami-orders-inquiry-into-lathi-charge-on-protesting-students-articleshow> | Careers360: Uttarakhand: protests against recruitment exam paper leak continue <https://news.careers360.com/uttarakhand-protests-against-recruitment-exam-paper-leak-continue>
1.3,83,1,rozgaar,B,verified,हाईकोर्ट को कहना पड़ा कि एक सवाल हटाओ,The High Court had to order a question removed,"UKPSC की PCS मुख्य परीक्षा दिसंबर 2025 में होनी थी, लेकिन प्रारंभिक परीक्षा के कुछ सवालों पर विवाद के बाद उच्च न्यायालय ने रोक लगाई. अदालत ने प्रश्न संख्या 70 हटाने और तीन अन्य विवादित सवालों की विशेषज्ञ समिति से समीक्षा कराने का निर्देश दिया. लीक अलग बात है, पर सवाल ही ग़लत हों तो जाँच कौन करता है?","The UKPSC PCS Mains was to be held in December 2025 but was stayed by the High Court after a dispute over questions in the preliminary exam. The Court directed that question 70 be removed and three other disputed questions be reviewed by an expert committee. A leak is one thing, but who checks the questions themselves?",RTI-02,https://70sawal.github.io/q/1/,Careers360: UKPSC PCS Mains 2025 postponed after Uttarakhand HC orders removal and review of prelim questions <https://news.careers360.com/ukpsc-pcs-mains-2025-postponed-uttarakhand-high-court-exam-orders-removal-review-dispute-prelims-questions>
2,4,,palayan,A,verified,"1,700 गाँव पूरी तरह खाली","1,700 villages now completely empty","सरकार के अपने पलायन आयोग के अनुसार राज्य के 16,793 गाँवों में से 1,700 से ज़्यादा गाँव अब पूरी तरह खाली हो चुके हैं। 2017 से अब तक पलायन आयोग की सिफ़ारिशों में से कितनी लागू हुईं?","According to the government's own Rural Development and Migration Commission, more than 1,700 of Uttarakhand's 16,793 villages are now completely uninhabited. Of the Commission's recommendations since 2017, how many have actually been implemented?",RTI-03,https://70sawal.github.io/q/4/,The Migration Story: Uttarakhand's ghost villages: the hidden migration crisis (Migration Commission data) <https://themigrationstory.com/post/uttarakhands-ghost-villages-the-hidden-migration-crisis/> | The Mooknayak: Ghost villages and out-migration consequences <https://en.themooknayak.com/labourer/ghost-villages-abandoned-lives-the-troubling-consequences-of-out-migration-in-uttarakhand>
2.1,6,4,palayan,A,verified,पलायन की वजह सरकार ख़ुद जानती है,The government knows why people leave,"पलायन आयोग खुद कहता है कि 50% पलायन का कारण है रोज़गार का न होना, 15% शिक्षा की कमी, और 8% इलाज की सुविधा न होना। यानी वजह सरकार जानती है। तो 2017 से अब तक पहाड़ी ब्लॉकों में कितने स्कूल और कितने प्राथमिक स्वास्थ्य केंद्र खुले, और कितने बंद हुए?","The Commission itself attributes 50% of out-migration to the lack of rural livelihoods, 15% to lack of access to education and 8% to absent medical facilities. The government knows the causes. So since 2017, how many schools and primary health centres have opened in hill blocks, and how many have closed?",RTI-04,https://70sawal.github.io/q/4/,The Migration Story: Migration Commission causes breakdown (50% livelihood / 15% education / 8% medical) <https://themigrationstory.com/post/uttarakhands-ghost-villages-the-hidden-migration-crisis/>
3,5,,palayan,A,verified,पाँच साल में 3.07 लाख ने पलायन किया,3.07 lakh people migrated in five years,"पलायन आयोग की अंतरिम रिपोर्ट के मुताबिक 2018 से 2022 के बीच 3.07 लाख लोगों ने पलायन किया, 92 ब्लॉकों के 6,436 गाँवों से 3 लाख अस्थायी, और 72 ब्लॉकों के 2,067 गाँवों से 28,631 स्थायी। पाँच साल में यह आँकड़ा घटा या बढ़ा?","The Migration Commission's interim report records 3.07 lakh people migrating between 2018 and 2022, 3 lakh temporary from 6,436 villages across 92 blocks, and 28,631 permanent from 2,067 villages across 72 blocks. Has that figure fallen or risen in the five years since?",RTI-03,https://70sawal.github.io/q/5/,The Migration Story: Migration Commission interim report figures 2018-2022 <https://themigrationstory.com/post/uttarakhands-ghost-villages-the-hidden-migration-crisis/>
4,7,,palayan,A,verified,सात साल में 734 और गाँव खाली,734 more villages emptied in seven years,"2011 में उत्तराखंड में 1,034 गाँव निर्जन थे। 2018 तक यह संख्या बढ़कर लगभग 1,800 हो गई, यानी सात साल में 734 और गाँव खाली। आज 2026 में यह आँकड़ा कितना है, और सरकार ने आख़िरी बार यह गिनती कब कराई?","Uttarakhand had 1,034 uninhabited villages in 2011. By 2018 that had risen to roughly 1,800, 734 more villages emptied in seven years. What is the figure in 2026, and when did the government last actually count?",RTI-03,https://70sawal.github.io/q/7/,"The Migration Story: 1,034 uninhabited villages (2011) rising by 734 by 2018 <https://themigrationstory.com/post/uttarakhands-ghost-villages-the-hidden-migration-crisis/>"
5,8,,bhu-kanoon,A,verified,भू-कानून आठ साल की देरी से आया,The land law arrived eight years late,"भू-कानून की माँग 2017-18 से चल रही थी। सख़्त भू-कानून फरवरी 2025 में जाकर पास हुआ, यानी लगभग आठ साल बाद। इन आठ सालों में बाहरी लोगों को कितनी ज़मीन बेची गई, और नए कानून के बाद उसमें से कितनी वापस ली गई?","The demand for a strong land law has run since 2017-18. The stricter Bhu-Kanoon was passed only in February 2025, roughly eight years later. How much land was transferred to non-residents in those eight years, and how much of it has been reverted since the new law?",RTI-05,https://70sawal.github.io/q/8/,"The Hindu: Uttarakhand approves stricter land law to govern deals by outsiders <https://www.thehindu.com/news/national/uttarakhand/uttarakhand-approves-stricter-land-law-to-govern-deals-by-outsiders/article69238872.ece> | Kumaon Planner: Cabinet passed 20 Feb 2025, Assembly passed 21 Feb 2025 <https://kumaonplanner.com/bhu-kanoon-in-uttarakhand/>"
6,9,,rozgaar,C,verified,"कितने पद भरे गए, आँकड़ा ही नहीं",How many posts were filled? No figure exists,"सरकार हर साल भर्ती के विज्ञापन निकालती है। 2017 से अब तक कितने पद विज्ञापित हुए, कितनी परीक्षाएँ समय पर हुईं, और कितने अभ्यर्थियों को वास्तव में नियुक्ति पत्र मिला?","The government advertises recruitment every year. Since 2017, how many posts have been advertised, how many exams were held on schedule, and how many candidates actually received appointment letters?",RTI-02,https://70sawal.github.io/q/9/,"ThePrint: Another exam, another leak: Uttarakhand can't plug gaps despite anti-cheating law <https://theprint.in/india/another-exam-another-leak-uttarakhand-cant-plug-gaps-despite-anti-cheating-law-uksssc-stir-spills-over/2750820/>"
